Name	Brand name	Type	Source	Target	Approved	Use
Besilesomab	Scintimun	mab	mouse	Carcinoembryonic antigen (CEA)-related antigen		inflammatory lesions and metastases (detection)
Bevacizumab	Avastin	mab	humanized	VEGF-A	Y	metastatic cancer, retinopathy of prematurity
Bezlotoxumab	Zinplava	mab	human	Clostridium difficile	Y	Clostridium difficile colitis
Biciromab	FibriScint	Fab'	mouse	fibrin II, beta chain		thromboembolism (diagnosis)
Bimagrumab		mab	human	ACVR2B		myostatin inhibitor
Bimekizumab	Bimzelx	mab	humanized	IL-17A, IL-17F, IL-17AF	Y	psoriasis
Birtamimab		mab	chimeric	serum amyloid A protein		amyloidosis
Bivatuzumab		mab	humanized	CD44 v6		squamous cell carcinoma
Bleselumab		mab	human	CD40		organ transplant rejection
Blinatumomab	Blincyto	BiTE	mouse	CD19	Y	pre-B Acute lymphoblastic leukemia (ALL) (CD19+)
Blontuvetmab	Blontress	mab	veterinary	CD20		
Blosozumab		mab	humanized	SOST		osteoporosis
Bococizumab		mab	humanized	PCSK9		dyslipidemia
Brazikumab		mab	human	IL-23		Crohn's disease
Brentuximab vedotin	Adcentris	mab	chimeric	CD30 (TNFRSF8)	Y	Hodgkin's lymphoma
anaplastic large-cell lymphoma
Briakinumab		mab	human	IL-12, IL-23		psoriasis, rheumatoid arthritis, inflammatory bowel diseases, multiple sclerosis
Brodalumab	Siliq	mab	human	IL-17	Y	Plaque psoriasis
Brolucizumab	Beovu	scFv	humanized	vascular endothelial growth factor A (VEGFA)	Y	wet age-related macular degeneration
Brontictuzumab		mab	humanized	Notch 1		cancer
Burosumab	Crysvita	mab	human	FGF 23	Y	X-linked hypophosphatemia
Cabiralizumab		mab	humanized	CSF1R		metastatic pancreatic cancer
Camidanlumab tesirine		mab	human	CD25 (α chain of IL-2 receptor)		B-cell Hodgkin's lymphoma, non-Hodgkin lymphoma, acute lymphoblastic leukemia, acute myeloid leukemia
Camrelizumab		mab	humanized	PD-1		hepatocellular carcinoma
Canakinumab	Ilaris	mab	human	IL-1	Y	cryopyrin-associated periodic syndrome
Cantuzumab mertansine		mab	humanized	CanAg (a glycoform of MUC1)		colorectal cancer etc.
Cantuzumab ravtansine		mab	humanized	CanAg (a glycoform of MUC1)		cancers
Caplacizumab	Cablivi	sdAb	humanized	VWF	Y	thrombotic thrombocytopenic purpura, thrombosis
Casirivimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Yes when used with imdevimab	Coronavirus disease 2019 (COVID-19)
Capromab	Prostascint	mab	mouse	Glutamate carboxypeptidase II	Y	prostate cancer (detection)
Carlumab		mab	human	MCP-1		oncology/immune indications
Carotuximab		mab	chimeric	endoglin		angiosarcoma
Catumaxomab	Removab	3funct	rat/mouse hybrid	EpCAM, CD3	Y	ovarian cancer, malignant ascites, gastric cancer
cBR96-doxorubicin immunoconjugate		mab	humanized	Lewis-Y antigen		cancer
Cedelizumab		mab	humanized	CD4		prevention of organ transplant rejections, treatment of autoimmune diseases
Cemiplimab	Libtayo	mab	human	PD-1	Y	cutaneous squamous cell carcinoma
Cergutuzumab amunaleukin		mab	humanized	IL-2		cancer
Certolizumab pegol	Cimzia	Fab'	humanized	TNF-α	Y	Crohn's disease, rheumatoid arthritis, axial spondyloarthritis, psoriasis arthritis
Cetrelimab		mab	human	PD-1		cancer
Cetuximab	Erbitux	mab	chimeric	Epidermal growth factor receptor (EGFR)	Y	metastatic colorectal cancer and head and neck cancer
Cibisatamab		mab	humanized	CEACAM5		cancer
Cilgavimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Emergency Use Authorization (EUA) when used with tixagevimab	Coronavirus disease 2019 (COVID-19)
Cirmtuzumab		?	humanized	ROR1		chronic lymphocytic leukemia
Citatuzumab bogatox		Fab	humanized	EpCAM		ovarian cancer and other solid tumors
Cixutumumab		mab	human	IGF-1 receptor (CD221)		solid tumors
Clazakizumab		mab	humanized	IL-6		rheumatoid arthritis
Clenoliximab		mab	chimeric	CD4		rheumatoid arthritis
Clivatuzumab tetraxetan	hPAM4-Cide	mab	humanized	MUC1		pancreatic cancer
Codrituzumab		mab	humanized	glypican 3		cancer
Cofetuzumab pelidotin		mab	humanized	PTK7		cancer
Coltuximab ravtansine		mab	chimeric	CD19		cancer
Conatumumab		mab	human	TRAIL-R2		cancer
Concizumab		mab	humanized	tissue factor pathway inhibitor (TFPI)		bleeding
Cosfroviximab	ZMapp	mab	chimeric	ebolavirus glycoprotein		Ebola virus
Crenezumab		mab	humanized	β-amyloid (1-40 and 1-42)		Alzheimer's disease
Crizanlizumab	Adakveo	mab	humanized	selectin P	Y	sickle-cell disease
Crotedumab		mab	human	glucagon receptor (GCGR)		diabetes
CR6261		mab	human	Hemagglutinin (influenza)		infectious disease/influenza A
Cusatuzumab		mab	humanized	CD70		cancer
Dacetuzumab		mab	humanized	CD40		hematologic cancers
Daclizumab	Zenapax	mab	humanized	CD25 (α chain of IL-2 receptor)	Y	prevention of organ transplant rejections, multiple sclerosis
Dalotuzumab		mab	humanized	IGF-1 receptor (CD221)		cancer etc.
Dapirolizumab pegol		mab	humanized	CD154 (CD40L)		?
Daratumumab	Darzalex	mab	human	CD38	Y	multiple myeloma
Dectrekumab		mab	human	IL-13		?
Demcizumab		mab	humanized	DLL4		cancer
Denintuzumab mafodotin		mab	humanized	CD19		cancer
Denosumab	Prolia	mab	human	RANKL	Y	osteoporosis, bone metastases etc.
Depatuxizumab mafodotin		mab	chimeric/humanized	EGFR		glioblastoma
Derlotuximab biotin		mab	chimeric	histone complex		recurrent glioblastoma multiforme
Detumomab		mab	mouse	B-lymphoma cell		lymphoma
Dezamizumab		mab	humanized	serum amyloid P component		?
Dinutuximab	Unituxin	mab	chimeric	GD2 ganglioside	Y	neuroblastoma
Dinutuximab beta	Qarziba	mab	chimeric	GD2 ganglioside	Y	neuroblastoma
Diridavumab		mab	human	Hemagglutinin (influenza)		influenza A
Domagrozumab		mab	humanized	GDF-8		Duchenne muscular dystrophy
Dorlimomab aritox		F(ab')2	mouse	?		?
Dostarlimab	Jemperli	mab	humanized	PCDP1	Y	endometrial cancer
Drozitumab		mab	human	DR5		cancer etc.
DS-8201		?	humanized	HER2		gastric or gastroesophageal junction adenocarcinoma
Duligotuzumab		mab	humanized	ERBB3 (HER3)		testicular cancer
Dupilumab	Dupixent	mab	human	IL-4Rα	Y	atopic dermatitis, asthma, nasal polyps
Durvalumab	Imfinzi	mab	human	PD-L1	Y	cancer
Dusigitumab		mab	human	IGF-2		B-cell malignancies
Duvortuxizumab		scFv	chimeric/humanized	CD19, CD3E		cancer
Ecromeximab		mab	chimeric	GD3 ganglioside		malignant melanoma
Eculizumab	Soliris	mab	humanized	C5	Y	paroxysmal nocturnal hemoglobinuria, atypical hemolytic uremic syndrome
Edobacomab		mab	mouse	endotoxin		sepsis caused by Gram-negative bacteria
Edrecolomab	Panorex	mab	mouse	EpCAM		colorectal carcinoma
Efalizumab	Raptiva	mab	humanized	LFA-1 (CD11a)		psoriasis (blocks T-cell migration)
Efungumab	Mycograb	scFv	human	Hsp90		invasive Candida infection
Eldelumab		mab	human	CXCL10 (IP-10)		Crohn's disease, ulcerative colitis
Elezanumab		mab	human	repulsive guidance molecule A (RGMA)		spinal cord injury and multiple sclerosis
Elgemtumab		mab	human	ERBB3 (HER3)		cancer
Elotuzumab	Empliciti	mab	humanized	SLAMF7	Y	multiple myeloma
Elsilimomab		mab	mouse	IL-6		?
Emactuzumab		mab	humanized	CSF1R		cancer
Emapalumab	Gamifant	mab	human	IFN-γ	Y	hemophagocytic lymphohistiocytosis
Emibetuzumab		mab	humanized	HGFR		cancer
Emicizumab	Hemlibra	mab	humanized	activated F9, F10	Y	haemophilia A
Enapotamab vedotin		mab	human	AXL		cancer
Enavatuzumab		mab	humanized	TWEAK receptor		cancer etc.
Enfortumab vedotin	Padcev	mab	human	nectin-4	Y	urothelial cancer
Enlimomab pegol		mab	mouse	ICAM-1 (CD54)		?
Enoblituzumab		mab	humanized	CD276		cancer
Enokizumab		mab	humanized	IL-9		asthma
Enoticumab		mab	human	DLL4		?
Ensituximab		mab	chimeric	MUC5AC		cancer
Epcoritamab		BsMAb	human	CD3, CD20		B-cell lymphoma
Epitumomab cituxetan		mab	mouse	episialin		?
Epratuzumab		mab	humanized	CD22		cancer, systemic lupus erythematosus (SLE)
Eptinezumab	Vyepti	mab	humanized	calcitonin gene-related peptide	Y	migraine
Erenumab	Aimovig	mab	human	calcitonin gene-related peptide receptor (CGRP)	Y	migraine
Erlizumab		F(ab')2	humanized	ITGB2 (CD18)		heart attack, stroke, traumatic shock
Ertumaxomab	Rexomun	3funct	rat/mouse hybrid	HER2/neu, CD3	Y	breast cancer etc.
Etaracizumab	Abegrin	mab	humanized	integrin αvβ3	Y	melanoma, prostate cancer, ovarian cancer etc.
Etesevimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Emergency Use Authorization (EUA) when used with bamlanivimab	Coronavirus disease 2019 (COVID-19)
Etigilimab		mab	humanized	TIGIT		?
Etrolizumab		mab	humanized	integrin β7		inflammatory bowel disease
Evinacumab	Evkeeza	mab	human	angiopoietin 3	Y	dyslipidemia
Evolocumab	Repatha	mab	human	PCSK9	Y	hypercholesterolemia
Exbivirumab		mab	human	hepatitis B surface antigen		hepatitis B
Fanolesomab	NeutroSpec	mab	mouse	CD15		appendicitis (diagnosis)
Faralimomab		mab	mouse	IFN receptor		?
Faricimab	Vabysmo	mab	humanized	VEGF-A and Ang-2	Y	angiogenesis, ocular vascular diseases
Farletuzumab		mab	humanized	folate receptor 1		ovarian cancer
Fasinumab		mab	human	nerve growth factor (NGF)		acute sciatic pain
FBTA05	Lymphomun	3funct	rat/mouse hybrid	CD20		chronic lymphocytic leukaemia
Felvizumab		mab	humanized	respiratory syncytial virus		respiratory syncytial virus infection
Fezakinumab		mab	human	IL-22		rheumatoid arthritis, psoriasis
Fibatuzumab		mab	humanized	ephrin receptor A3		?
Ficlatuzumab		mab	humanized	Hepatocyte growth factor (HGF)		cancer etc.
Figitumumab		mab	human	IGF-1 receptor (CD221)		adrenocortical carcinoma, non-small cell lung carcinoma etc.
Firivumab		mab	human	Hemagglutinin (influenza)		?
Flanvotumab		mab	human	TYRP1 (glycoprotein 75)		melanoma
Fletikumab		mab	human	IL-20		rheumatoid arthritis
Flotetuzumab		di-scFv	humanized	IL-3 receptor		hematological malignancies
Fontolizumab	HuZAF	mab	humanized	IFN-γ		Crohn's disease etc.
Foralumab		mab	human	CD3E		?
Foravirumab		mab	human	rabies virus glycoprotein		rabies (prophylaxis)
Fremanezumab	Ajovy	mab	humanized	calcitonin gene-related peptide alpha and beta	Y	migraine
Fresolimumab		mab	human	TGF-β		idiopathic pulmonary fibrosis, focal segmental glomerulosclerosis, cancer
Frovocimab		mab	humanized	PCSK9		hypercholesterolemia
Frunevetmab	Solensia	mab	veterinary	nerve growth factor (NGF)	Y	pain associated with osteoarthritis in cats
Fulranumab		mab	human	nerve growth factor (NGF)		pain
Futuximab		mab	chimeric	Epidermal growth factor receptor (EGFR)		cancer
Galcanezumab	Emgality	mab	humanized	calcitonin	Y	migraine
Galiximab		mab	chimeric	CD80		B-cell lymphoma
Gancotamab		scFv	human	HER2/neu		cancer
Ganitumab		mab	human	IGF-1 receptor (CD221)		cancer
Gantenerumab		mab	human	β-amyloid (1-40 and 1-42)		Alzheimer's disease
Gatipotuzumab		mab	humanized	MUC1		cancer
Gavilimomab		mab	mouse	CD147 (basigin)		graft versus host disease
Gedivumab		mab	human	Hemagglutinin (influenza)		?
Gemtuzumab ozogamicin	Mylotarg	mab	humanized	CD33	Y	acute myelogenous leukemia
Gevokizumab		mab	humanized	IL-1β		diabetes etc.
Gilvetmab		mab	veterinary	PCDC1		?
Gimsilumab		mab	human	CSF2		rheumatoid arthritis
Girentuximab	Rencarex	mab	chimeric	carbonic anhydrase 9 (CA-IX)		clear cell renal cell carcinoma
Glembatumumab vedotin		mab	human	GPNMB		melanoma, breast cancer
Golimumab	Simponi	mab	human	TNF-α	Y	rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis
Gomiliximab		mab	chimeric	CD23 (IgE receptor)		allergic asthma
Gosuranemab		mab	humanized	tau protein		progressive supranuclear palsy
Guselkumab	Tremfya	mab	human	IL-23	Y	psoriasis
Ianalumab		mab	human	BAFF-R		autoimmune hepatitis
Ibalizumab	Trogarzo	mab	humanized	CD4	Y	HIV infection
Sintilimab		?	human	PD-1		squamous cell non-small cell lung cancer
Ibritumomab tiuxetan	Zevalin	mab	mouse	CD20	Y	non-Hodgkin's lymphoma
Icrucumab		mab	human	VEGFR-1		cancer etc.
Idarucizumab	Praxbind	mab	humanized	dabigatran	Y	reversal of anticoagulant effects of dabigatran
Ifabotuzumab		mab	humanized	EPHA3		glioblastoma multiforme
Igovomab	Indimacis-125	F(ab')2	mouse	CA-125		ovarian cancer (diagnosis)
Iladatuzumab vedotin		mab	humanized	CD79B		cancer
Imalumab		mab	human	macrophage migration inhibitory factor (MIF)		cancer
Imaprelimab		mab	humanized	melanoma cell adhesion molecule (MCAM)		?
Imciromab	Myoscint	mab	mouse	cardiac myosin	Y	cardiac imaging
Imdevimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Yes when used with casirivimab	Coronavirus disease 2019 (COVID-19)
Imgatuzumab		mab	humanized	Epidermal growth factor receptor (EGFR)		cancer
Inclacumab		mab	human	selectin P		cardiovascular disease
Indatuximab ravtansine		mab	chimeric	SDC1		cancer
Indusatumab vedotin		mab	human	GUCY2C		cancer
Inebilizumab	Uplizna	mab	humanized	CD19	Y	cancer, systemic sclerosis, multiple sclerosis
Infliximab	Remicade	mab	chimeric	TNF-α	Y	rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, psoriasis, Crohn's disease, ulcerative colitis
Intetumumab		mab	human	CD51		solid tumors (prostate cancer, melanoma)
Inolimomab		mab	mouse	CD25 (α chain of IL-2 receptor)		graft versus host disease
Inotuzumab ozogamicin	Besponsa	mab	humanized	CD22	Y	Acute lymphoblastic leukemia (ALL)
Ipilimumab	Yervoy	mab	human	CD152	Y	melanoma
Iomab-B		?	mouse	CD45		ablation of bone marrow
Iratumumab		mab	human	CD30 (TNFRSF8)		Hodgkin's lymphoma
Isatuximab	Sarclisa	mab	chimeric	CD38	Y	multiple myeloma
Iscalimab		mab	human	CD40		?
Istiratumab		mab	human	IGF-1 receptor (CD221)		advanced solid tumors
Itolizumab	Alzumab	mab	humanized	CD6	Y	psoriasis
Ixekizumab	Taltz	mab	humanized	IL-17A	Y	autoimmune diseases
Keliximab		mab	chimeric	CD4		chronic asthma
Labetuzumab	CEA-Cide	mab	humanized	Carcinoembryonic antigen (CEA)		colorectal cancer
Lacnotuzumab		mab	humanized	CSF1, macrophage colony stimulating factor (MCSF)		cancer
Ladiratuzumab vedotin		mab	humanized	LIV-1		cancer
Lampalizumab		Fab	humanized	Complement factor D (CFD)		geographic atrophy secondary to age-related macular degeneration
Lanadelumab	Takhzyro	mab	human	kallikrein	Y	angioedema
Landogrozumab		mab	humanized	GDF-8		muscle wasting disorders
Laprituximab emtansine		mab	chimeric	epidermal growth factor receptor (EGFR)		?
Larcaviximab		mab	chimeric	ebolavirus glycoprotein		Ebola virus
Lebrikizumab		mab	humanized	IL-13		asthma
Lemalesomab		mab	mouse	NCA-90 (granulocyte antigen)		diagnostic agent
Lendalizumab		mab	humanized	C5		?
Lenvervimab		mab	humanized	hepatitis B surfage antigen		hepatitis B
Lenzilumab		mab	human	CSF2		chronic myelomonocytic leukemia and juvenile myelomonocytic leukemia
Lerdelimumab		mab	human	TGF-β2		reduction of scarring after glaucoma surgery
Leronlimab		mab	humanized	CCR5		breast cancer, HIV
Lesofavumab		mab	human	Hemagglutinin (influenza)		?
Letolizumab		scFv	humanized	tumor necrosis factor related activation protein (TRAP)		inflammatory diseases
Lexatumumab		mab	human	TRAIL-R2		cancer
Libivirumab		mab	human	hepatitis B surface antigen		hepatitis B
Lifastuzumab vedotin		mab	humanized	phosphate-sodium co-transporter		cancer
Ligelizumab		mab	humanized	IGHE		severe asthma and chronic spontaneous urticaria
Loncastuximab tesirine	Zynlonta	mab	chimeric	CD19	Y	relapsed or refractory large B-cell lymphoma
Losatuxizumab vedotin		mab	chimeric/humanized	epidermal growth receptor factor (EGRF), ERBB1 HER1		cancer
Lilotomab satetraxetan		mab	mouse	CD37		cancer
Lintuzumab		mab	humanized	CD33		cancer
Lirilumab		mab	human	KIR2D		solid and hematological cancers
Lodelcizumab		mab	humanized	PCSK9		hypercholesterolemia
Lokivetmab	Cytopoint	mab	veterinary	Canis lupus familiaris IL31	Y	clinical signs of atopic dermatitis in dogs
Lorvotuzumab mertansine		mab	humanized	CD56		cancer
Lucatumumab		mab	human	CD40		multiple myeloma, non-Hodgkin's lymphoma, Hodgkin's lymphoma
Lulizumab pegol		mab	humanized	CD28		autoimmune diseases
Lumiliximab		mab	chimeric	CD23 (IgE receptor)		chronic lymphocytic leukemia
Lumretuzumab		mab	humanized	ERBB3 (HER3)		cancer
Lupartumab		mab	human			?
Lupartumab amadotin		mab	human	LYPD3		?
Lutikizumab		mab	humanized	IL-1α		?
Maftivimab		mab	human			part of Atoltivimab/maftivimab/odesivimab for treatment of Zaire ebolavirus (Ebola virus)
Mapatumumab		mab	human	TRAIL-R1		cancer
Margetuximab	Margenza	mab	humanized	HER2	Y	breast cancer
Marstacimab		mab	human	tissue factor pathway inhibitor (TFPI)		bleeding with hemophilia
Maslimomab		?	mouse	T-cell receptor		
Mavrilimumab		mab	human	GMCSF receptor α-chain		rheumatoid arthritis
Matuzumab		mab	humanized	Epidermal growth factor receptor (EGFR)		colorectal, lung and stomach cancer
Mepolizumab	Bosatria	mab	humanized	IL-5	Y	asthma and white blood cell diseases
Metelimumab		mab	human	TGF-β1		systemic scleroderma
Milatuzumab		mab	humanized	CD74		multiple myeloma and other hematological malignancies
Minretumomab		mab	mouse	TAG-72		tumor detection (and therapy?)
Mirikizumab		mab	humanized	IL-23A		psoriasis
Mirvetuximab soravtansine		mab	chimeric	folate receptor alpha		ovarian cancer
Mitumomab		mab	mouse	GD3 ganglioside		small cell lung carcinoma
Modotuximab		mab	chimeric	EGFR extracellular domain III		cancer
Mogamulizumab	Poteligeo	mab	humanized	CCR4	Y	adult T-cell leukemia/lymphoma
Monalizumab		mab	humanized	NKG2A		rheumatoid arthritis, gynecologic malignancies, and other cancers
Morolimumab		mab	human	Rhesus factor		
Mosunetuzumab		mab	humanized	CD3E, MS4A1, CD20		cancer
Motavizumab	Numax	mab	humanized	respiratory syncytial virus		respiratory syncytial virus (prevention)
Moxetumomab pasudotox	Lumoxiti	mab	mouse	CD22	Y	hairy cell leukemia
Muromonab-CD3	Orthoclone OKT3	mab	mouse	CD3		prevention of organ transplant rejections
Nacolomab tafenatox		Fab	mouse	C242 antigen		colorectal cancer
Namilumab		mab	human	CSF2		
Naptumomab estafenatox		Fab	mouse	5T4		non-small cell lung carcinoma, renal cell carcinoma
Naratuximab emtansine		mab	chimeric	CD37		
Narnatumab		mab	human	MST1R (aka RON)		cancer
Natalizumab	Tysabri	mab	humanized	integrin α4	Y	multiple sclerosis, Crohn's disease
Navicixizumab		mab	chimeric/humanized	DLL4 and VEGFA		cancer
Navivumab		mab	human	Hemagglutinin (influenza)		
Naxitamab	Danyelza	?	humanized	c-Met	Y	high-risk neuroblastoma and refractory osteomedullary disease
Nebacumab		mab	human	endotoxin		sepsis
Necitumumab	Portrazza	mab	human	Epidermal growth factor receptor (EGFR)	Y	non-small cell lung carcinoma
Nemolizumab		mab	humanized	IL-31 receptor A		eczema
NEOD001		?	humanized	amyloid		primary systemic amyloidosis
Nerelimomab		mab	mouse	TNF-α		?
Nesvacumab		mab	human	angiopoietin 2		cancer
Netakimab	Efleira	mab	chimeric	IL-17A		plaque psoriasis
Nimotuzumab	BioMab-EGFR, Theracim, Theraloc	mab	humanized	epidermal growth factor receptor (EGFR)	Y	squamous cell carcinoma, head and neck cancer, nasopharyngeal cancer, glioma
Nirsevimab		mab	human	RSV fusion glycoprotein		respiratory syncytial virus
Nivolumab	Opdivo	mab	human	PD-1	Y	cancer
Nofetumomab merpentan	Verluma	Fab	mouse	?		cancer (diagnosis)
Obiltoxaximab	Anthim	mab	chimeric	Bacillus anthracis anthrax	Y	Bacillus anthracis spores
Obinutuzumab	Gazyva	mab	humanized	CD20	Y	chronic lymphatic leukemia
Ocaratuzumab		mab	humanized	CD20		cancer
Ocrelizumab	Ocrevus	mab	humanized	CD20	Y	multiple sclerosis
Odesivimab		mab	human			part of Atoltivimab/maftivimab/odesivimab for treatment of Zaire ebolavirus (Ebola virus)
Odulimomab		mab	mouse	LFA-1 (CD11a)		prevention of organ transplant rejections, immunological diseases
Ofatumumab	Arzerra, Kesimpta	mab	human	CD20	Y	chronic lymphocytic leukemia
multiple sclerosis
Olaratumab	Lartruvo	mab	human	PDGFRA	Y	cancer
Oleclumab		mab	human	5'-nucleotidase		pancreatic and colorectal cancer
Olendalizumab		mab	humanized	complement C5a		systemic lupus erythematosus, lupus nephritis, acute graft-versus-hose disease
Olokizumab		mab	humanized	IL-6		rheumatoid arthritis
Omalizumab	Xolair	mab	humanized	IgE Fc region	Y	allergic asthma
Omburtamab		mab	mouse	CD276		cancer
OMS721		?	human	MASP-2		atypical hemolytic uremic syndrome
Onartuzumab		Fab	humanized	human scatter factor receptor kinase		cancer
Ontuxizumab		mab	chimeric/humanized	TEM1		cancer
Onvatilimab		mab	human	VISTA (protein) (VSIR)		?
Opicinumab		mab	human	LINGO-1		multiple sclerosis
Oportuzumab monatox	Vicinium	scFv	humanized	EpCAM		bladder cancer
Oregovomab	OvaRex	mab	mouse	CA-125		ovarian cancer
Orticumab		mab	human	oxLDL		
Otelixizumab		mab	chimeric/humanized	CD3		diabetes mellitus type 1
Otilimab		mab	human	GMCSF		osteoarthritis, rheumatoid arthritis
Otlertuzumab		mab	humanized	CD37		cancer
Oxelumab		mab	human	OX-40		asthma
Ozanezumab		mab	humanized	NOGO-A		ALS and multiple sclerosis
Ozoralizumab		mab	humanized	TNF-α		inflammation
Pagibaximab		mab	chimeric	lipoteichoic acid		sepsis (Staphylococcus)
Palivizumab	Synagis, Abbosynagis	mab	humanized	F protein of respiratory syncytial virus	Y	respiratory syncytial virus (prevention)
Pamrevlumab		mab	human	connective tissue growth factor (CTGF)		idiopathic pulmonary fibrosis (IPF), pancreatic cancer
Panitumumab	Vectibix	mab	human	epidermal growth factor receptor (EGFR)	Y	colorectal cancer
Pankomab		mab	humanized	tumor specific glycosylation of MUC1		ovarian cancer
Panobacumab		mab	human	Pseudomonas aeruginosa		Pseudomonas aeruginosa infection
Parsatuzumab		mab	humanized	EGFL7		cancer
Pascolizumab		mab	humanized	IL-4		asthma
Pasotuxizumab		mab	chimeric/humanized	folate hydrolase		cancer
Pateclizumab		mab	humanized	lymphotoxin alpha (LTA)		TNF
Patritumab		mab	human	ERBB3 (HER3)		cancer
PDR001		?	humanized	PD-1		melanoma
Pembrolizumab	Keytruda	mab	humanized	PD-1	Y	melanoma and other cancers
Pemtumomab	Theragyn	?	mouse	MUC1		cancer
Perakizumab		mab	humanized	IL-17A		arthritis
Pertuzumab	Perjeta	mab	humanized	HER2/neu	Y	cancer
Pexelizumab		scFv	humanized	C5		reduction of side effects of cardiac surgery
